SKILL,TASK
Remodelling,Content/Physical tasks/Dexterity
Signage,Content/Physical tasks/Dexterity
Concrete Finishing,Content/Physical tasks/Dexterity
Exercise to Music,Content/Physical tasks/Dexterity
Woodwork,Content/Physical tasks/Dexterity
Drywall,Content/Physical tasks/Dexterity
Colour Matching,Content/Physical tasks/Dexterity
Metal Forming,Content/Physical tasks/Dexterity
Epoxy,Content/Physical tasks/Dexterity
Concrete Mixing,Content/Physical tasks/Dexterity
Weeding,Content/Physical tasks/Dexterity
Basic Tools,Content/Physical tasks/Dexterity
Highway Construction,Content/Physical tasks/Dexterity
Paving,Content/Physical tasks/Dexterity
Rebar,Content/Physical tasks/Dexterity
Exterior Painting,Content/Physical tasks/Dexterity
Interior Painting,Content/Physical tasks/Dexterity
Window Installation,Content/Physical tasks/Dexterity
Woodworking Machines,Content/Physical tasks/Dexterity
Insulation Installation,Content/Physical tasks/Dexterity
Form Building,Content/Physical tasks/Dexterity
Bridge Construction,Content/Physical tasks/Dexterity
Concrete Pouring,Content/Physical tasks/Dexterity
Screeds,Content/Physical tasks/Dexterity
Chain Saws,Content/Physical tasks/Dexterity
Commercial Roofing,Content/Physical tasks/Dexterity
Roofing Materials,Content/Physical tasks/Dexterity
2D Animation,Content/Physical tasks/Dexterity
Metal Roofing,Content/Physical tasks/Dexterity
Mixing Machines,Content/Physical tasks/Dexterity
Woodworking Tools,Content/Physical tasks/Dexterity
Organ Transplantation,Content/Physical tasks/Dexterity
Wood Assembly,Content/Physical tasks/Dexterity
Trim Carpentry,Content/Physical tasks/Dexterity
Cabinet Installation,Content/Physical tasks/Dexterity
Bridge Repair,Content/Physical tasks/Dexterity
Submerged Arc Welding,Content/Physical tasks/Dexterity
Shingle,Content/Physical tasks/Dexterity
Concrete Placement,Content/Physical tasks/Dexterity
Piping Replacement,Content/Physical tasks/Dexterity
Commercial Carpentry,Content/Physical tasks/Dexterity
Concrete Forming,Content/Physical tasks/Dexterity
Residential Painting,Content/Physical tasks/Dexterity
Apartment Maintenance,Content/Physical tasks/Dexterity
Metal Framing,Content/Physical tasks/Dexterity
Rubber Mallets,Content/Physical tasks/Dexterity
Spray Foam (Insulation),Content/Physical tasks/Dexterity
Cabinet Repair,Content/Physical tasks/Dexterity
Frame Carpentry,Content/Physical tasks/Dexterity
Carpenter Assistance,Content/Physical tasks/Dexterity
Finish Carpentry,Content/Physical tasks/Dexterity
Prepare Calibration Solutions,Content/Physical tasks/Dexterity
Wood Framing,Content/Physical tasks/Dexterity
Rough Carpentry,Content/Physical tasks/Dexterity
Drywall Repair,Content/Physical tasks/Dexterity
Drywall Installation,Content/Physical tasks/Dexterity
Sighting Rods,Content/Physical tasks/Dexterity
Form Carpentry,Content/Physical tasks/Dexterity
Cement Masonry,Content/Physical tasks/Dexterity
Painter Assistance,Content/Physical tasks/Dexterity
Crown Moulding,Content/Physical tasks/Dexterity
Drywall Finishing,Content/Physical tasks/Dexterity
Carpenter's Levels,Content/Physical tasks/Dexterity
Low-Slope Roofing,Content/Physical tasks/Dexterity
Product Delivery,Content/Physical tasks/Navigation
Lawn Mowing,Content/Physical tasks/Navigation
Data Entry,Content/Intellectual tasks/Information processing/
Colour Matching,Content/Intellectual tasks/Information processing/Processing of uncodified information
Data Transformation,Content/Intellectual tasks/Information processing/Processing of codified information/
English,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Writing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Written Communication,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Editing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Report Writing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
French,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
German,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Spanish,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Proofreading,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Dictation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Mail Sorting,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Arabic,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Legal Document Composition,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Sign Language,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Swedish,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Shorthand,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Transcription,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/
Administrative Support,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Finance,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Cost Control,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Service Level Agreement,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Management,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Intelligence,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Preparation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Review,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Due Diligence,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Process Design,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Content Management,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Procurement Contracts,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Legal Compliance,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Systems Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Root Cause Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Case Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Newsletters,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Training Materials,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Copy Writing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Prepare Presentations,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Preparing Reports,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
International Financial Reporting Standards,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Legal Support,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Copywriting,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Progress Reports,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Administration,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Operations,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Request for Proposal (RFP),Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Negotiation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Category Management,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Profit Targets,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Taking Messages,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Draughting,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Ad Hoc Reporting,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Process Management,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Note Taking,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Systems,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Decision Support,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Sales Contracts,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Intelligence Reporting,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Corporate Tax Returns,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Ad Hoc Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
TIBCO,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Office Supply Ordering,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Procedure Development,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Cost Efficiency,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Flow Diagrams,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Requirements Documentation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Modelling,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Problem Identification,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Metrics,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Memorandums Preparation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Process Architecture,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Case Creation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Profit and Loss Control,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Confidentiality Agreements,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Workflow Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Implementation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Supplier Contract Negotiation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Interpretation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Task Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Total Quality Management,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Procedure Establishment,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Profitability Improvement,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Rules Engines,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Processing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Report Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Process Refinement,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Life Cycle Cost Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Anaplan,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business and Processing Documentation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Mail Processing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Software AG,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Decision Support Systems,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Complex Event Processing (CEP),Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Design Evaluation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Statistics,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Contract Auditing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Business Intelligence Reporting Tools (BIRT),Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Expense Report Processing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Supply Ordering,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Domo,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Route Auditing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Oracle Demantra,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Oracle Business Activity Monitoring (BAM),Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Damage Prevention,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Direct Store Delivery (DSD),Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Process Isolation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Business
Research,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Technical Support,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
It Support,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Technical Writing / Editing,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Application Support,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Preparing Reports,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Contract Draughting,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Ad Hoc Reporting,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Ad Hoc Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
System Documentation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Policy Review,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Data Documentation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Building Science,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Medical Translation,Content/Intellectual tasks/Information processing/Processing of codified information/Literacy/Technical
Finance,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/
Budgeting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Accounting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Key Performance Indicators (KPIs),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Cost Control,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Data Entry,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Calculation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Account Reconciliation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Invoicing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Invoice Processing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Financial Reporting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Record Keeping,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Balance Sheet,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Payroll Processing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Customer Billing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Estimating,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Financial Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Costing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Financial Accounting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Bookkeeping,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
VAT Returns,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Bank Reconciliation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Financial Controls,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Accruals,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Statutory Accounts,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Financial Statements,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Account Closing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Accounts Payable / Accounts Receivable,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Accounting Systems,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Cost Estimation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Account Auditing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
General Ledger,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Cost Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Financial Advising,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Corporate Tax Returns,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Payroll Administration,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Retail Accounts,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Revenue Recognition,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Cost Accounting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Benefits Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Expense Reports,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Budget Forecasting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Job Costing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Marketing Performance Measurement,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Financial Statement Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Business Intelligence Data Modelling,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Full Cycle Accounts Payable,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Advanced Data Entry,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Accounting
Business Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Estimating,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Benchmarking,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Machine Learning,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Statistics,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Science,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Variance Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Cash Flow Forecasting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Cost Estimation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Modelling,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Financial Modelling,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Statistical Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Interior Design,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Manipulation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Pricing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Mining,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Capture,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Visualisation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Governance,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Big Data Analytics,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Architectural Design,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Residential Design,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Predictive Models,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Natural Language Processing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Quantitative Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Benefits Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Building Design,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Project Architecture,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Space Planning,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Geometry,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Statistical Methods,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Reports,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Computer Vision,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Predictive Analytics,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Mathematical Modelling,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Deep Learning,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Model Building,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Sales Trend Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Pipeline (Computing),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Cluster Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Multivariate Testing,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Stochastic Processes,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Neural Networks,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Statistical Process Control (SPC),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Sustainability Consulting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Conversion,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Trending,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Decision Trees,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Quantitative Data Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Calculus,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Sustainable Design,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Revenue Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Logistic Regression,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Cleaning,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Building Performance,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Schematic Design,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Regression Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Text Mining,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Time Series Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Analytical Functions,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Applied Statistics,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Professional Architect,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Encryption,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Algebra,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
trigonometry,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Time Series Models,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Speech Recognition,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Linear Regression,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Interior Architecture,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Ontologies,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Linear Algebra,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Shop Drawings,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Recommender Systems,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Analysis Of Variance (ANOVA),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Random Forests,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Support Vector Machines (SVM),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Sentiment Analysis / Opinion Mining,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Factor Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Decision Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Monte Carlo Simulation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Differential Equations,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Analysis Computing Tools,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Evaluation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Social Network Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Metadata Design,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Computational Linguistics,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Exploratory Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Bayesian Methods,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Data Quality Assessment,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Time Series Forecasting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Statistical Forecasting,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Green Building,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Qualitative Data Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Advanced Statistics,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Information Extraction,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Survival Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
K-Means,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
